truth_label;confidence;ulasan
negative;9,82E+15;ngisi data tp server error pagi smpe malam tlg diperbaiki lgi ayoo yg mempermudah masyarakat tolong dibuktikan
negative;5,02E+15;bikin ruwet kakek suruh email aplikasi
negative;9,99E+15;bikin surat pengantarr ajaaaa susahhh banget malahh nguras waktuu udah bolakbalik daftar server gk muncul pas ngesave dataa sukses gitu mempermudahhh mempersulit warganyaaaaaa
negative;8,86E+15;mohon maaf jujur aplikasi menyusahkan
negative;9,99E+15;menyulitkan apk
negative;9,28E+15;aplikasi wargaku menu sayang warga
negative;9,92E+14;pas udah ngisi tibalog out kode pengecekan permohonan serasa ribet bukanya peraturan enak lancar ribet
negative;9,98E+15;lg eror gmn
negative;9,97E+15;kembalikan aturan aja g pakai aplikasi kalo ngurus surat bikin ribet n sdh gtue trouble data sdh d input k rtrw n d kelurahan data belom masuk ribet n bikin capek d jalan warga dsuruh bolak balek k rtrw cwman verifikasi sdh d verifikasi n d kelurahan data belom masuk
negative;9,99E+15;komplain pengurusan ssw d suruh kesini ribet surabaya aneh
negative;9,97E+15;daftar susah tinggal nomor tellp error
negative;9,99E+15;aplikasi jelek banget upload foto gak trs kelurahan langsung manual gak pakai aplikasi gak trs solusinya
negative;9,26E+15;abis update logout ga bs masuk password sdh user name bener tp tetep salah pake email ga bs
negative;9,97E+15;logout aplikasi login email salah password salah udah bener yg input gilirah lupa password ga email salah ga bener aplikasi
negative;9,99E+15;pengurusan ruwet verifikasi data aja bolak ribet ruwet
negative;9,99E+15;aplikasi rumit log in gak
negative;9,97E+15;x coba register tp error loading data
negative;9,99E+15;respon menanggapi nya payah
negative;9,43E+15;email udah bener password udah bener tp ditolak
negative;7,01E+14;akun gak muncul sswalfa nya lupa password
negative;9,99E+15;bolak upload foto gak pdahal foto cmn mb sesuai app max mb aneh
positive;9,75E+15;bagus aplikasi langsung direspon masalahku bikin laporan lgi tanaman liar dibelakang rumah sdh tumbuh
negative;9,79E+15;aplikasi membantu masyarakat menengah keatas menengah kebawah yng jg pemkot satpol pp asli bawahan erik
negative;9,99E+15;gk gunanya ni buang buang paketan aja jelek
negative;9,54E+15;maaf edit ulasan karna apk logout masuk udah lakukan tp hasilnya nihil akun email pasword jg tolong diperbaiki
negative;6,76E+14;aplikasi yg gx berfaedah
negative;9,98E+15;orang berkuasa sosial permasalahan selesai permasalahan
negative;9,99E+15;ngisi data aja sampe sepuluh kali karna dibenerin ga mempermudah gini
negative;8,17E+15;download sehari udah mnta update
positive;5,80E+15;makasih keluhan langsung tanggapi temen keluhan sabar ya klu gak respon laporan x laporan langsung pasukan pemkot
negative;9,99E+15;menyulitkan orang
negative;9,99E+15;pelapor privasinya dilindungi umbar terancam salah pelapor
negative;9,99E+15;apk berguna
negative;9,98E+15;angel
negative;8,74E+15;gunanya aplikasi kalo disuruh dikomunikasikan dg kelurahan
negative;9,46E+15;blom detail
negative;9,95E+15;administrasi kependudukan isinya pemutahiran gelar erik hapus aja aplikasi gak gunabuang buang anggaranaja
negative;9,99E+15;ribet
negative;9,98E+15;halal aja dipersulit ya haha
negative;9,98E+15;app blm maksimal mempermudah memperuwet
negative;9,01E+14;apk membantu prosesnyamengikuti kelas jam dr akhirmengisi absensipresenttest posttest isi giliran nunggu sertifikatnya gg kelurahan disuruh puspagatanya puspaga dijwb disuruh komunikasihkan kelurahan hahaha jaman maju simplepraktismudah cepat kalo bintang kasih dah kekecewaan
negative;9,80E+15;orang yg menikah susah
negative;9,93E+15;mohon diperhatikan aplikasinya coba dicek aplikasinya penelusuran isi formnya nyimpanya pilihan prov kel kecdll gak pilihannya form knpa serba online kalo apl kayak gini apl smua berkas ksini skrg gak pusat kel kec wilayah d bantu ptugasnya mohon telusuri
negative;9,99E+15;parah apk nya lupa username nya ajja pas masuk sswalfa ajja gk ngecek sertifikat catin yg asli surabaya aja gini ribet
negative;7,46E+15;belom pake aplikasi tdk masuk
negative;9,99E+15;aplikasi eror nyusahin calon pengantin ruwet
negative;9,99E+15;habis update gagal login
negative;9,98E+15;respon fast respon jeleknya apk pelapor identitas nya dirahasiakan nama nomer telpon publikasikan
negative;9,99E+15;eror trus berkas lengkap bingung apk
negative;9,97E+15;verifikasi pengantar nikah aja rt rw gk sigap
negative;9,38E+15;aplikasi ga daftar tp keterangan nik dipakai kali mengakses lupa pasword keterangannya email terdaftar ga
negative;7,11E+15;cetak ulang ektp data pengganti ektpekitirnya diundusampai bulanstatus selasai dikirim dikelurahantapi dikelurahan dirw adaaplikasi parah
negative;9,48E+15;gak upload foto gak laporangimana sich
negative;9,99E+15;yg bikin aplikasi cek rilis gak sih aplikasi gak dipakai rilis pilih file foto gak gak file explore nya buruk aplikasi nya berguna
negative;7,51E+15;upload foto keluhan max mb foto yg apload uk mb sdh coba format pdf jpg mohon diperbaiki
negative;9,99E+15;hatihati melaporkan menjaga privasi tujuan melapor kebaikan perselisihan keegoisan ketua rtrwnya
negative;8,85E+15;tolong update simpan file otomatis habis ngisi pas ngisi
negative;9,95E+15;suruh update trs
negative;9,66E+14;izin media tetep ga fototerus ekitir nya ga download
positive;8,95E+15;siip
negative;9,99E+15;tolong bantu sharetindak pt pnm mekar cabang wonokromo yg bralamatkan jln bratang gede iiie no krn sdh melanggar yg mempekerjakan cewek jam kerja ngawur masuk jam pulang jam sdh manusiawi semena menapimpinannya hati memikirkan target tdk memikirkan keselamatan kesehatan karyawannya semena mena memulangkan karyawannya sperti
negative;9,99E+15;data mbr terdaftar lagiparahnya yg rumah lolos data mbrsaya yg menumpang orang tua lolos paraaaahdan yg lolos stikernya tutup kertas malu lihat orangdapat uangnya gak stiker warga miskin paraaaah paraaaah
negative;9,96E+15;buka yg dispendukcapilehhh ngentri data nik dll captcha robot cepat hilangdisuruh ulang lagiulang
negative;9,99E+15;lapornya aja blanko ktp taun tetep habis butuh banget memperbarui ektp yg trus asn guru diperbanyak kerjaannya muridnya pulang jam ditambah kerjaan gurunya hati sabtu utk mengajar kecamatan uang transport uang makan lemburan melanggar aturan jam kerja asn guru pas jam ditambahin diluar jam kerja
positive;9,99E+15;okelah
positive;9,98E+14;ok
negative;9,99E+15;tanggapan utk prosesnya
positive;9,98E+14;ok
negative;9,99E+15;aplikasinya berbelit belit
negative;9,80E+15;aplikasi ga gunastatus selesai kenyataan aja
positive;9,98E+14;ok
negative;9,29E+15;bagus sih tp disayangkan kalo warga surabaya gak daftar kerja kos surabaya kalo gak tercampur data orang surabaya non surabaya fitur pendaftaran non surabaya
negative;9,97E+15;lapor pengaduan selesai solusi sesi tanggapan disudahi gaji uang rakyat kewajiban melayani masyarakat tulus kerjanya absen pulang terima gaji
negative;9,99E+15;birokrasi aja ngga jalan teratasi ndasmu sempal
negative;9,96E+15;aplikasi absurd jg sop penggunaan domain surabaya tdk dibenarkan krn yg mengakui posting info dr surabaya tp tdk domain surabayagoid jg data krg bergerak pemkot integrasi ruwet mohon diperbaiki memalukan skom kalo alasan tabel permintaan ya mohon maaf tingkat analisa patut diragukan coba koreksi koordinator pemkot yg semenang menganggap remeh tenaga kontrak berani tunjukkan layak jd prakom
positive;9,98E+14;ok
negative;9,99E+15;pemkot surabaya respon
positive;9,79E+15;siiip
negative;9,92E+15;prank
positive;9,98E+14;ok
negative;9,93E+15;register gagaltidak solusi
negative;9,71E+15;asu susah tenan masuke jane niat bantu warga sby topo niar gwe ngelu
negative;7,74E+15;gak daftar
negative;9,98E+15;susah banget daftar akundari kemarin gak trus
negative;6,77E+15;aplikasi daftar jam pagi jam mlm tetep ndak
negative;9,96E+15;maaf mendaftar simpan datanya ko gagal yaatime out
negative;9,99E+15;daftar gagal mulu
negative;9,99E+15;gaguna daftarnya menyusahkan isi lengkap time out teruss
negative;9,92E+15;utk warganya utk masyarakat indonesia yg tinggal kota
negative;9,91E+15;salah apk nya data nya download terdaftar mbr stlah update terdaftar pengembang instansi yg terkait aplikasi ayok perbaiki anggaran daftar nya pake nik data terintegrasi data sesuai nik masuk menu daftar memasukan nik ayoo semangat hambur hamburkan anggaran kepentingan pribadi golongan surabaya hebat
positive;9,98E+15;mantull
positive;4,45E+16;surabaya
negative;8,07E+15;
positive;9,99E+15;okelah
negative;9,71E+15;berat ponsel
negative;8,86E+15;kalo laporan memuat data loading aja ga menu tampilan laporan
positive;9,98E+14;ok
negative;9,98E+15;utk laporan lansung d respon tpi utk laporan yg blum respon kecewa tanggap
negative;9,96E+15;gmn sih download aplikasi daftar gagal nik sdh terdaftar blm daftar kali download aplikasinya daftar lha tulisannya kn aneh
negative;9,96E+14;aplikasi dilarikan web hasilnya wkwkwk adaada pemkotku
negative;9,32E+15;pendaftaran akunnya pake info pribadi yg detail penghalang daftar melaporkan kadang aman anonim
negative;9,98E+15;error ga melaporkan
negative;9,90E+15;aplikasi udah setting warga surabaya laporan dipersulit bobroknya ketahuan atasan
positive;5,45E+15;kerja bagus
negative;9,93E+15;terkadang eror susah akses gagal mengirim laporan
negative;8,52E+15;sulit masuknya uninstall aja
negative;9,73E+15;coba ko
positive;9,98E+14;ok
negative;9,89E+15;aplikasi error dibuka dibutuhkan
negative;9,96E+15;kecewa warga non surabaya meluangkan aspirasinya
negative;6,27E+15;daftar online puskesmas rumah sakit hp muncul server eror giliran laptop tolong donk knp kyk gtu google muncul tulisan server eror
negative;9,97E+15;coba
negative;9,99E+15;laporan disuruh komunikasi dg kelurahan aplikasi klo gini
negative;9,92E+15;aplikasi error daftar berfungsi buang aplikasi biar bahan penggunaan yg melanggar hukum
negative;9,96E+15;kali instal aplikasi berhasil
negative;8,36E+15;aduan diproses
negative;9,98E+15;aplikasi hebat lapor lngsung telpon marahi maki opd daerah
negative;9,95E+15;ya daftar akun terdaftar daftarin kader rt daftarin apk gtau apk emang rt aneh bgt
negative;5,32E+15;aplikasi nya lumayan respon cpt bngt koq tp klau eror hrs coba lg dn bs eri tlng warga yg berktp sby tp kerja nya sby bs dftr mbr
positive;9,98E+14;ok
negative;8,77E+15;aplikasi n website sayang warga surabaya sepenuhnya ready udah diluncurkan bikin beban kader kesehatan yg isi form sampe bengi krn kesulitan akses sak suroboyo ngakses
negative;9,99E+15;aneh bin gak masuk akal daftar daftar aplikasi lha muncul tulisan mendaftar akun login lha lagek kate daftar onok tulisan koyok ngono iku seh cak akhire yo gak isok daftar iki yok opo iki cak
negative;9,99E+15;gagal gimana
negative;9,49E+15;daftar daftar susah data masukkan aplikasi mohon perbaiki aplikasi terimakasih
negative;9,84E+15;daftar gagal trus kk nik surabaya diulang why
negative;9,91E+15;respon cepat kenyataan lapangan berbeda mohon benahi yg lapangan
negative;9,98E+15;gimana sih respon aplikasinya aplikasi udah launching daftar aja kendalanya aja selesaikan aplikasi launching
negative;9,98E+15;aplikasi berfungsi aktif
negative;9,99E+15;membagongkan
negative;9,99E+15;bingung
negative;9,96E+15;pemilihan lokasi ribet responsif loading peta
negative;9,97E+15;laporan vaksin aplikasi tdk upload foto tp disuruh upload fotogimana nih maksudnya aplikasi bodoh dipiara aja nih
negative;7,26E+15;knp pindah udah gak pindah kota gak
negative;9,98E+15;applikasi ga hak warga surabaya bikin ribet
positive;9,98E+14;ok
negative;9,52E+15;melaporkam gotsaluran air gak salurannya air tertampung klo musim hujan banjir erii tolong ditinjausaya aplikasi wargaku ditindak lanjuti aja
negative;9,12E+15;diulanglagi sip
negative;9,96E+15;aplikasi bagus banget lapor ditanggapin eh skrg udh nulis pengaduan history pengaduan hilang aduan proses ditindaklanjuti cek ktnya error history pengaduan hilang uninstall login login pdhl username password suda solusinya ga tau hasil laporan wargaku diatasi blm tolong perbaiki
negative;9,98E+14;nomor aduan tlp reject keluhan susah
negative;9,99E+15;lapor langsung tanggepin besoknya lgsg kerjakan skrg boro kerjakan tanggepin aja aplikasi sediakan gercep skrg lambat
negative;9,99E+15;kirim aduan nulis ehh gagal benahi donk aplikasi maksimal pengoperasiannya
negative;9,95E+15;daftar error
positive;9,98E+14;ok
negative;9,99E+14;aplikasi berguna sampah komplain jg tdk ditindaklanjuti diinstall buang kuota
negative;9,31E+15;mengirim aduan apk ngk menyelesaian permasalahan yg kampung
negative;9,98E+15;respon terkait serifikat vaksin yg tanggapan gunanya aplikasi sy asli surabaya tp persulit
positive;7,30E+15;keluhan warga cepat ditanggapi
positive;8,78E+15;membantu
positive;9,98E+14;ok
negative;9,96E+15;sedih banget registrasi nik temukan ktp surabaya mohon tanggapannya
negative;9,87E+15;coba berkali utk daftar errorbelum
negative;9,12E+14;daftar error pemberitahuan kali coba nik terdaftar kk terdaftarada ktp nya sebulan msih error
positive;9,64E+15;aplikasi mantap laporan diselesaikan ngga sampe jam
negative;9,95E+14;nyoba
negative;9,99E+15;aplikasi gk mengirim keluan kemana mengadu
negative;9,89E+15;laporan langsung respon dinas berani menegakkan aturan alhasil pelanggaran
negative;9,79E+15;ditingkatkan
negative;6,64E+15;baguspihak lapangan penindakan
negative;9,99E+15;gak solusinya pelayanan buruk
negative;5,65E+15;update terbaru bug nya memilih opd tombol hilang update bs bs diperbaiki lagithx
negative;9,99E+15;aplikasi buka error
negative;9,99E+14;susah sinyal gampang eror aplikasi
negative;9,84E+15;akun gagal trs aplikasi opo iki hadecch crruuttt
negative;6,01E+15;bagus membantu warga surabaya cm sya tnya knp ya stlh sya logout tdk bs msk lgi pdhl email sm passwordx sdh ya mskx lgi
negative;9,93E+15;
negative;9,03E+15;lambat
positive;9,95E+15;ntapss
negative;9,99E+15;lingkungan jl bukitbarisan jorok kotor
negative;9,15E+15;tp mudah an dibaca pimp nany staff e
positive;6,58E+15;bagus gampang kelu kesah warga surabaya
negative;9,80E+15;bintang mengadu tanggal april tanggapan
negative;8,45E+15;usia pengguna aplikasi dibatasi kelahiran keatas
positive;9,98E+14;ok
negative;9,88E+15;mengadu bansos ndak tanggapan ya emang diproses
negative;6,89E+15;melaporkan jalan berlobang wilayah surabaya wilayah domisili korban akibat jalan berlobang terima kasih
negative;7,92E+15;sek coba min mugi ae manfaat
positive;9,98E+14;ok
negative;9,98E+15;munyer
negative;8,94E+15;cak ri sok mben lek wes gak onk corona ngopi ayo koyok disek
positive;9,98E+14;ok
negative;9,98E+15;memghargai tujuan pemkot surabaya tolong aplikasi error nge blank dipaksakan keluhan aplikasi yg errorsudah pembayaran bukti aplikasi terbayar hubungi pengaduan aplikasi bisauntung penjual kembalikan uang yg masuk klo gak nyusahin klo uang hilang
negative;9,39E+15;permisi mohon maaf pengelola aplikasi pemeliharaan aplikasi aplikasi masuk udah uang ga cair tolong pengelola aplikasi benahkan gabisa ngeoperasikan aplikasi gini ganti aja nada sopan terima kasih
negative;9,96E+15;aplikasi gak akun daftar gak daftar
negative;9,98E+15;transaksi pembayaran masuknyapembeli membayar lunas qris sistematis ganti status dikemas menunggu pembayaran panik dihubungi pembeli teruskok gak dikemas kemasmohon penjelasannyaagar kesan aplikasi layak pakai
negative;5,62E+14;harganya lbh mahal drpd alfaindomt trs nmbh ongkir trs penjualnya jg songong berasa asn yg butuh jd semena sy bangga sbnrnya dg apk tp sdh ditelusuri pemilik org yg kaya jdnya yg kaya tmbh kaya ngantar brg yg sy pesan pake mobil bahkn sy aja gak pny mobil knp gak penjual yg pasar dimotivasi spy bs dftr pedagang epeken trs yg dmksd pemkot mensejahterakan yg mn
negative;6,78E+15;segi interface membantu mohon perbaiki segi pengalaman pengguna kesulitan mencari yg mksud aspek salah satunya pengelompokkan buttom bar
negative;9,98E+15;aplikasi ribet
negative;9,99E+15;sulit
negative;9,82E+15;ra iso buka wes daftar nang online iso weee bintang ae
positive;9,30E+15;ok bagus
negative;9,93E+15;aplikasi error hr aja dr pagi sore trouble orderan yg approve tolong sempurnakan aplikasi nya
negative;9,98E+15;error aplikasinyasekarang tetiba logout login ga
negative;9,99E+15;membantu
positive;9,94E+15;oklah
negative;9,46E+15;aplikasinya januari ga dibuka ya
negative;9,58E+15;eror transfer tp sttsnya blm bayar
negative;9,41E+15;ga login gagal
negative;9,99E+15;aplikasi sampah login aja gabisa ga berguna
negative;9,99E+15;gak daftar gak niat yg bikin aplikasinya gak login profesional suruh coba aja ditest bug nya
negative;9,31E+15;harga mahal diluarbisa selisih rbrb harga tdk masuk akal
negative;9,99E+15;aplikasinya dipaksakan log in jlimet ngisi data susah
negative;9,38E+15;comment negatif positif nya bantu team developer nya memakai email perusahaan email pribadigmail
negative;7,30E+15;kesuwen
negative;8,10E+15;daftar gimana ya mas gk
negative;9,99E+15;ga masuk login jelek
negative;9,99E+15;aplikasi rusak
negative;9,90E+15;tolong aplikasinya diperbaiki login pakek email gak username opsi username email gak orang langsung inget usernamenya aplikasinya gitu gak opsi lupa sandi lupa sandi dibuka browser iya kalo make anak muda kalo orang tua gak bingung enak pakai olshop tolong diperbaiki ya kak aplikasinya udah bagus aplikasinya secupu
negative;9,96E+15;susah masuk makasih
negative;9,49E+15;username paswort gak
negative;9,95E+15;harapan harap update produk stok biaya pengiriman tambahkan permudah penghapusan produk ketidaksediaan barang seringkali terjual gak hapus dipesan orang penjual kesulitan mengidentifikasi yg sih yg pesan ukuran fotonya gak zoom tombol yg mengarah produk
negative;9,95E+15;aplikasih dipaksa menyusahakan pns belanja terkesan kena palak diharuskan jt belanja epeken masuk aplikasi pdhl reset password kebutuhan kluarga beda beda yg mengirit utk melunasi tanggungan harganya murah toko offline ribet utk pns yg muda belanja sanksi
negative;9,99E+15;asli parah aplikasi iki wes mbayar ga akui ribet ruwet kudune nek jualan online iku mempeudah transaksi jual beliiki ruwet telitien apikasimu aplikasi iki digawe iku nggawe duek e rakyat
negative;9,54E+15;bingung min penjual aplikasi peken
negative;9,98E+15;bangga ya kudu guyu aplikasi gk pekso beroprasi gk mending beli langsung ae ta tokonya gk pakai aplikasian harganya murah beli langsung toko dripada aplikasi wkwkwk kasian toko yg gk kesempatan akses toko aplikasi toko toko gk berkembang aja tujuan oknum mengambil keuntungan dri pembuatan aplikasi gk sempurnah
negative;9,99E+15;penjualnya kebanyakan jutek respon penjual lelet lemot
negative;9,72E+15;masyarakat
negative;6,99E+15;logine yoknopo min bintang telu
negative;5,92E+15;log in list itemnya tambahkan fitur codbayar pemkot permudah sistem orang berbelanja online foto produk detail produk
negative;9,97E+14;gak logib
negative;9,98E+15;liat iklan tertarikmau belanjatapi logim gk bisagmn belanjanyamohon diperbaiki
negative;9,00E+15;warga surabaya bangga aplikasi umkm kendala akses via aplikasi daftar via web login aplikasi susah coba baca user guide ribet pesan dll dilaunching diuji semoga peningkatan
negative;9,97E+15;gak bikin aplikasinya
negative;9,74E+15;login via browser seller responsif
negative;9,99E+15;rurang respon
negative;9,99E+15;mengecewakan login belanja
negative;9,98E+15;apk log out masuk aplikasi susah
positive;9,98E+14;ok
negative;9,97E+15;gk bsa
negative;9,99E+15;bagus log outharus login yg versi
negative;9,99E+15;kau bikin aplikasi pake sistem kaya gimana anjir aplikasi kehapus data sengaja uninstall data login kekunci dihp emang memikirkan kondisi hp pengguna rusak mempersulit pengguna pake aplikasi anak muda aja orang tua gaptek
negative;9,77E+15;data log in terblokircra bukanya gimana
negative;9,88E+15;membantu tibw gk dibuka apl nya
negative;9,68E+15;error
negative;9,99E+15;trouble bos susah masuk ruwet
negative;9,97E+15;kadang eror
negative;9,86E+15;trobel gak akurat loding aja
negative;9,97E+15;aplikasi srg error
negative;9,60E+15;gak update deh bkin ribet klo update aplikasi manapun gk ribet update login aja susah
negative;9,65E+15;ios tersedia ya
negative;6,90E+15;aplikasi kantorku digunakanmuncul tulisan mengecek pembaharuan solusi
negative;5,71E+15;buka aplikasi hp gk ya min hp udh hapus apl tetep gk masuk mohon bantuannya aplikasi berguna
negative;5,62E+15;min hp aplikasi gak bukak yhaa min
negative;9,97E+15;eror
negative;5,94E+15;gak login passwordnya tu tulisannya salah
positive;9,98E+14;ok
negative;9,70E+15;gak ya
negative;9,99E+15;ngelag
negative;9,53E+15;ku error
negative;9,10E+15;trobel
negative;9,99E+15;ngak nambah pinter digobloki bosok muter terusss
negative;9,99E+15;aplikasi ya loading
negative;9,98E+15;bolakbalik eror
negative;9,57E+15;kadang eror absennya
positive;9,16E+15;jos
negative;7,49E+15;gak sesuai yg shif kerja malam
positive;9,95E+15;josss aplikasinya sperti pertahankan
negative;6,59E+15;merubah password nya
positive;9,98E+14;ok
positive;9,95E+15;ok mantaap
negative;9,97E+15;aplikasi ga boros baterai boros paket data
positive;6,04E+15;ok sip
negative;9,98E+15;app nya error
negative;9,99E+15;aplikasinya jelek
negative;9,99E+15;error merusak hp
positive;9,97E+15;ok bangaet
positive;9,98E+14;ok
negative;9,99E+15;it e sip
negative;9,93E+15;boros koata
negative;9,86E+15;eror
negative;8,67E+15;seng bayaran balek umr
negative;9,99E+15;kebanyakan update error
positive;8,06E+15;mantul
positive;8,62E+15;gercep bangett pelayanan nya jalanan rusak langsung perbaiki keren aplikasi
positive;9,99E+15;bagus
positive;9,98E+15;mantappsangat mengapresiasi aplikasi wargaku memudahkan pengurus kampung koordinasi dinas terkait kepentingan warga
positive;9,43E+15;ok mantap
positive;9,96E+15;aplikasi simpel layanan bagus semoga kedepannya konsisten saran semoga kedepannya rtrw kelurahan edukasi sistem responsif
positive;9,94E+15;aplikasi wargaku surabaya membantu keluhan warganya cpt tertidaklanjuti olek pemkot surabayaterima pemkot surabaya wali kota surabaya erik cahyadi respon cpt
positive;9,99E+14;membantu
positive;9,77E+15;mantaaap
positive;9,95E+15;terimakasih
negative;9,97E+15;aplikasi opo ikiruwet bgt
positive;9,99E+15;mantab
positive;6,78E+15;diancuk sipp
positive;9,98E+15;
positive;9,99E+15;bagus aplikasinya
positive;9,99E+15;good job
positive;9,54E+15;responsif penanganan keluhan masyarakatsip lanjutkan pengabdian masyarakat lagiabaikan pembenci pemkot yg gak
positive;9,99E+15;mantap
positive;9,99E+15;mantab
positive;9,98E+15;membantu
positive;9,98E+15;simpel
positive;9,97E+15;assalamualaikum surabaya hebat terimakasih walikota perhatian warganya pelayanan dipermudah online offline aplikasi oke salam matur nuwun mewakili warga rw rt kelurahan keputran kecamatan tegalsari bravo surabaya hebat
positive;9,98E+15;cocok bermanfaat
positive;8,51E+14;membantu warga surabaya informasi dipemkot surabaya
positive;9,98E+15;bagus
positive;9,96E+15;semoga
positive;9,96E+15;respon cepat
positive;9,98E+15;mempermudah laporan
positive;9,98E+15;bagus
positive;9,99E+15;good
positive;9,95E+14;aplikasi bermanfaat warga surabaya mempergunakannya berterima kasih respon cepat pengisian aplikasi selesai dijalankan
positive;9,65E+15;membantu masyarakat ketua rt kesenjangan sosial warganya
positive;9,97E+15;alhamdulillah terbantu aplikasi keluhan pelayanan masyarakat cepat direspon pemkot surabaya
negative;7,38E+15;ruwet cak sumpah
positive;9,94E+15;membantu tinggal kecamatan kelurahan dukuh pakis keluhan langsung ditanggapi ramah ditindak lanjuti cepat salam sehat camat lurah menjabat maturnuwun nggeh
positive;9,98E+15;aplikasi terbaik warga surabaya
positive;7,23E+15;oke
positive;9,99E+15;model nya keren suka
positive;9,96E+15;membantu
positive;9,98E+15;bermanfaat bangat yg warga surabay
positive;9,82E+15;cepat
positive;9,80E+15;cocok
positive;9,99E+15;alhamdulillah apk membantu masyarakatdan prosesnya cepat jam kerjasemoga bermanfaat kedepannya
positive;9,95E+15;membantu skali mantab gak pergi langsung rumah sakit
positive;9,98E+15;membantu terimakasih
positive;9,25E+15;kembalikan jaman bu risma cepat tanggap
positive;9,98E+15;
positive;9,93E+15;bermanfaat membantu layanan warga suroboyo
positive;9,98E+15;bagus aplikasinya fast rerspon
positive;9,99E+14;senang bangga warga surabaya yg memiliki pemimpin yg ikhlas bersedia memikirkan memperjuangkan warganya menikmati hidup diperjuangkannya pembangunan infra struktur masyarakat suritauladan masyarakat memiliki moral membangun kotanya berempati menolong warga fakir miskin yg membutuhkan suport hidup memikirkan generasi bangsa terima kasih pemimpinku semoga bahagia dunia akheratamin
positive;9,98E+15;bagus
positive;9,96E+15;membantu
positive;9,98E+15;bagus
positive;9,98E+15;bagus
positive;9,99E+15;apk mantap
positive;7,23E+15;oke
positive;9,93E+14;aplikasi warga surabaya yg membantu
positive;9,99E+15;pelayanannya cepat
positive;9,97E+15;terbantu aplikasi wargaku team operasionalnya tanggap membantu detail keluhan terimakasih from rizanurfauzia
positive;9,99E+15;mantap laporan kerja
positive;9,99E+14;membantu pelayanan masyarakat surabaya
positive;9,98E+15;memuaskan
positive;9,93E+15;bagus
positive;9,99E+15;good
positive;9,99E+15;mantap
positive;9,97E+14;mempermudah dlm berobat
positive;9,99E+15;mantap
positive;9,99E+15;mantap aplikasi berguna aplikasi yg bagus pemerintah kota surabaya respon cepat mantap
positive;9,49E+15;warga surabaya terbantu dg aplikasi cepatnya respon opd terkait bpk walikota surabaya semoga aplikasi contoh kota kota yg bravo walikota surabaya
positive;9,98E+15;semoga bermanfaat warga surabaya
positive;9,99E+15;good
positive;9,99E+15;suroboyo joss
positive;9,97E+15;membantu semoga bagus kedepannya
positive;9,98E+15;baguss
positive;9,99E+15;mantap
positive;9,98E+15;membantu
positive;9,96E+15;terimakasih aplikasi terbantu aplikasi pengaduan cepat tanggapi trima kasih eri
positive;9,98E+15;bagus membantu warga
positive;9,99E+15;membantu warga surabaya
positive;9,99E+15;membantu warga surabaya
positive;9,99E+15;good
positive;9,99E+15;membantu trimakasih
positive;7,23E+15;oke
positive;9,98E+15;
positive;9,99E+14;luwih praktis luwih nyaman
positive;9,99E+15;mantap pokoknya
positive;9,96E+15;membantu
positive;9,08E+15;okbagus
positive;9,97E+15;maturnuwun
positive;9,98E+15;bagus
positive;9,98E+15;puas pelayanan warganya
positive;9,94E+14;membantu warga kota surabaya
positive;9,87E+15;bgs lbh ditingkatkan saran usul
positive;9,99E+15;keren
positive;9,99E+15;membantu respon cepat cepat teratasi
positive;9,99E+15;pelayanan puskesmas dk kupang memuaskan
positive;9,99E+15;bermanfaat
positive;9,97E+15;menjadinsolusincepat
positive;9,99E+15;aplikasi membantu masyarakatwarga kota surabaya
positive;9,99E+15;mantap
positive;9,99E+15;mantap
positive;9,98E+15;super keren
positive;9,96E+15;membantu
positive;9,99E+15;membantu masyarakat
positive;9,96E+15;membantu
positive;9,82E+15;bagus sbg btk kepedulian thdp keluhan warga sby
positive;9,99E+15;good application
positive;9,97E+15;membantu warga kota surabaya
positive;9,07E+15;bagus aplikasi warga surabaya cm responnya lambat bs respon cepet max jam da respon kadang d respon
positive;9,95E+15;mempermudah masyarakat keluhan langsung dinas terkait mantab sulabaya kotaku walikota cerdas santun merakyat
positive;8,80E+14;cepat tanggap pelayanan publik
positive;9,99E+15;mantap
positive;9,97E+15;good perfect
positive;9,92E+14;respon lumayan cepat
positive;9,99E+15;semoga bermanfaat
positive;9,86E+15;tanggapan
positive;9,99E+15;senang gabung
positive;9,99E+15;mudah memuaskan
positive;9,46E+14;wargaku surabaya kota surabaya terselesaikan
positive;7,46E+15;menyala
positive;9,92E+15;dgn warga surabaya info nya
positive;9,97E+15;bagus
positive;9,97E+15;smoga amanah
positive;9,98E+15;cepat akurat
positive;9,95E+15;membantu aplikasi bs keperluan
positive;9,93E+15;membantu muantaf
positive;9,99E+15;bagus infonya
positive;9,98E+15;lancar
negative;8,20E+15;kapitalis
positive;9,98E+15;alhamdulillah langsung respon
positive;9,99E+15;bermanfaat warga surabaya terimakash
positive;9,96E+15;membantu menghidupkan
positive;9,68E+15;semoga lancar wargaku surabaya
positive;9,96E+15;fast respon mantap pokoke
positive;8,13E+15;mantab lanjutkan surabaya
positive;9,96E+15;membantu proses pelayanan
positive;9,91E+15;terima kasih membantu bikin kia uda jadibikin akte lahir nunggu cetak membantu daftar online puskesmas ok
positive;9,99E+15;mantap
positive;9,98E+15;aplikasi mya bagus membantu menunya beragam semkga kedepannya lengkap
positive;9,99E+15;puas
